,GenderSelect,Country,Age,EmploymentStatus,CodeWriter,CurrentJobTitleSelect,MLToolNextYearSelect,MLMethodNextYearSelect,LanguageRecommendationSelect,FormalEducation,MajorSelect,Tenure,FirstTrainingSelect,LearningCategorySelftTaught,LearningCategoryOnlineCourses,LearningCategoryWork,LearningCategoryUniversity,LearningCategoryKaggle,LearningCategoryOther
5094,Female,United States,59.0,Employed part-time,Yes,Data Scientist,Amazon Machine Learning,Rule Induction,R,Bachelor's degree,Mathematics or statistics,More than 10 years,University courses,10.0,10.0,30.0,50.0,0.0,0.0
5095,Male,United States,26.0,Employed part-time,Yes,Computer Scientist,Amazon Machine Learning,Deep learning,Python,Master's degree,Engineering (non-computer focused),1 to 2 years,University courses,50.0,0.0,0.0,40.0,10.0,0.0
5096,Male,United Kingdom,44.0,Employed full-time,Yes,Statistician,Python,Time Series Analysis,Python,Master's degree,Mathematics or statistics,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",10.0,70.0,10.0,0.0,10.0,0.0
5097,Male,Singapore,35.0,Employed full-time,No,Software Developer/Software Engineer,TensorFlow,Anomaly Detection,Python,Bachelor's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",20.0,80.0,0.0,0.0,0.0,0.0
5098,Male,United States,36.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Bachelor's degree,Other,6 to 10 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
5099,Male,United States,25.0,Employed part-time,Yes,Machine Learning Engineer,Impala,Genetic & Evolutionary Algorithms,Matlab,Master's degree,Electrical Engineering,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",15.0,10.0,15.0,50.0,10.0,0.0
5100,Male,Spain,50.0,Employed full-time,Yes,Scientist/Researcher,TensorFlow,Text Mining,Scala,Doctoral degree,Physics,3 to 5 years,Self-taught,70.0,0.0,20.0,10.0,0.0,0.0
5101,Male,United Kingdom,42.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Doctoral degree,Computer Science,More than 10 years,University courses,30.0,0.0,20.0,20.0,30.0,0.0
5103,Male,Other,23.0,"Independent contractor, freelancer, or self-employed",No,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Bachelor's degree,Computer Science,1 to 2 years,University courses,50.0,0.0,0.0,50.0,0.0,0.0
5105,Male,Canada,51.0,Employed full-time,Yes,Software Developer/Software Engineer,Amazon Machine Learning,Cluster Analysis,R,Bachelor's degree,Mathematics or statistics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",10.0,80.0,5.0,0.0,5.0,0.0
5106,Male,Canada,50.0,Employed full-time,Yes,Data Analyst,Microsoft Azure Machine Learning,Deep learning,R,Master's degree,Psychology,More than 10 years,Self-taught,30.0,50.0,0.0,0.0,20.0,0.0
5110,Female,United States,31.0,Employed full-time,Yes,Data Scientist,Google Cloud Compute,Deep learning,Python,Master's degree,Mathematics or statistics,More than 10 years,University courses,80.0,0.0,15.0,5.0,0.0,0.0
5111,Female,United States,54.0,Employed full-time,Yes,Computer Scientist,TensorFlow,Neural Nets,R,Doctoral degree,Computer Science,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",50.0,20.0,0.0,0.0,30.0,0.0
5112,Male,Chile,33.0,Employed part-time,Yes,Scientist/Researcher,Spark / MLlib,Association Rules,R,Master's degree,Mathematics or statistics,6 to 10 years,University courses,40.0,0.0,10.0,50.0,0.0,0.0
5115,Male,United States,26.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,"Ensemble Methods (e.g. boosting, bagging)",Python,Master's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",20.0,10.0,70.0,0.0,0.0,0.0
5116,Male,United States,25.0,Employed full-time,Yes,Scientist/Researcher,I don't plan on learning a new tool/technology,I don't plan on learning a new ML/DS method,Python,Master's degree,Computer Science,3 to 5 years,University courses,10.0,0.0,40.0,50.0,0.0,0.0
5118,Male,People 's Republic of China,22.0,Employed full-time,No,Business Analyst,Python,Cluster Analysis,Python,Bachelor's degree,Psychology,1 to 2 years,Self-taught,0.0,0.0,0.0,0.0,0.0,100.0
5119,Male,Japan,40.0,"Independent contractor, freelancer, or self-employed",Yes,Scientist/Researcher,Other,Other,Python,Master's degree,"Information technology, networking, or system administration",More than 10 years,Work,50.0,0.0,50.0,0.0,0.0,0.0
5124,Female,United States,24.0,Employed full-time,Yes,Data Scientist,TensorFlow,Neural Nets,Python,Master's degree,Mathematics or statistics,1 to 2 years,University courses,0.0,0.0,70.0,30.0,0.0,0.0
5125,Female,United States,30.0,"Independent contractor, freelancer, or self-employed",Yes,Data Analyst,Amazon Web services,Deep learning,Python,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",10.0,10.0,20.0,0.0,0.0,60.0
5128,Male,Canada,26.0,Employed full-time,Yes,Machine Learning Engineer,Spark / MLlib,Survival Analysis,Python,Bachelor's degree,Computer Science,Less than a year,"Online courses (coursera, udemy, edx, etc.)",28.0,20.0,20.0,28.0,4.0,0.0
5130,"Non-binary, genderqueer, or gender non-conforming",Canada,38.0,Employed full-time,Yes,Other,R,Regression,Python,Master's degree,A humanities discipline,Less than a year,"Online courses (coursera, udemy, edx, etc.)",20.0,40.0,0.0,0.0,40.0,0.0
5131,Male,United States,44.0,Employed full-time,Yes,Statistician,Other,Deep learning,R,Master's degree,Other,More than 10 years,"Online courses (coursera, udemy, edx, etc.)",50.0,40.0,10.0,0.0,0.0,0.0
5133,Female,United States,50.0,Employed part-time,No,Other,Jupyter notebooks,Monte Carlo Methods,Python,Doctoral degree,Mathematics or statistics,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",0.0,75.0,0.0,25.0,0.0,0.0
5134,Male,United States,27.0,Employed full-time,Yes,Business Analyst,Tableau,Social Network Analysis,Python,Bachelor's degree,Mathematics or statistics,3 to 5 years,Kaggle competitions,40.0,20.0,0.0,10.0,30.0,0.0
5135,Male,United States,32.0,Employed full-time,Yes,Statistician,R,Neural Nets,R,Master's degree,Engineering (non-computer focused),6 to 10 years,Self-taught,25.0,10.0,50.0,10.0,5.0,0.0
5138,Male,United States,35.0,Employed full-time,Yes,Scientist/Researcher,R,Regression,R,Doctoral degree,Biology,Less than a year,"Online courses (coursera, udemy, edx, etc.)",40.0,40.0,20.0,0.0,0.0,0.0
5139,Male,India,39.0,Employed full-time,Yes,Statistician,R,Regression,R,Doctoral degree,Mathematics or statistics,More than 10 years,University courses,60.0,0.0,30.0,10.0,0.0,0.0
5142,Male,Colombia,33.0,Employed full-time,No,Software Developer/Software Engineer,Spark / MLlib,Deep learning,Python,Bachelor's degree,Computer Science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",10.0,70.0,10.0,0.0,10.0,0.0
5143,Female,United States,37.0,Employed full-time,Yes,Business Analyst,Jupyter notebooks,Uplift Modeling,Python,Doctoral degree,Mathematics or statistics,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",35.0,25.0,15.0,0.0,0.0,25.0
5145,Female,Australia,29.0,Employed full-time,Yes,Business Analyst,Microsoft Azure Machine Learning,"Ensemble Methods (e.g. boosting, bagging)",SQL,Bachelor's degree,Engineering (non-computer focused),6 to 10 years,Self-taught,80.0,5.0,15.0,0.0,0.0,0.0
5147,Male,Australia,34.0,Employed full-time,Yes,Data Scientist,TensorFlow,Neural Nets,Python,Doctoral degree,Physics,6 to 10 years,Work,50.0,0.0,20.0,0.0,30.0,0.0
5148,Female,Colombia,28.0,"Independent contractor, freelancer, or self-employed",Yes,Statistician,Python,Deep learning,Python,Bachelor's degree,Management information systems,3 to 5 years,University courses,10.0,20.0,20.0,30.0,20.0,0.0
5149,Male,United States,34.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Neural Nets,Python,Master's degree,Engineering (non-computer focused),More than 10 years,"Online courses (coursera, udemy, edx, etc.)",20.0,35.0,40.0,0.0,5.0,0.0
5151,Male,People 's Republic of China,28.0,Employed full-time,Yes,Machine Learning Engineer,TensorFlow,Deep learning,Python,Bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,University courses,10.0,40.0,30.0,15.0,0.0,5.0
5155,Female,United States,26.0,Employed full-time,Yes,Data Scientist,Spark / MLlib,Neural Nets,R,Master's degree,Mathematics or statistics,3 to 5 years,University courses,20.0,5.0,20.0,54.0,1.0,0.0
5156,Male,Canada,32.0,Employed full-time,Yes,Software Developer/Software Engineer,Python,Decision Trees,Python,Master's degree,Computer Science,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",50.0,50.0,0.0,0.0,0.0,0.0
5157,Male,Israel,31.0,Employed full-time,Yes,Data Scientist,TensorFlow,Deep learning,Python,Bachelor's degree,Electrical Engineering,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",0.0,10.0,45.0,0.0,45.0,0.0
5158,Female,United States,28.0,"Independent contractor, freelancer, or self-employed",Yes,Data Analyst,Python,Text Mining,SQL,Master's degree,Mathematics or statistics,6 to 10 years,Self-taught,80.0,0.0,20.0,0.0,0.0,0.0
5159,Female,United States,42.0,Employed full-time,Yes,Software Developer/Software Engineer,Tableau,Cluster Analysis,Python,Master's degree,A social science,More than 10 years,University courses,5.0,5.0,15.0,70.0,5.0,0.0
5161,Male,United States,23.0,Employed full-time,No,Software Developer/Software Engineer,Google Cloud Compute,Deep learning,Python,Bachelor's degree,Computer Science,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",30.0,35.0,5.0,15.0,15.0,0.0
5163,Male,United States,50.0,Employed full-time,Yes,Scientist/Researcher,TensorFlow,Deep learning,Python,Master's degree,Mathematics or statistics,More than 10 years,Work,0.0,10.0,80.0,10.0,0.0,0.0
5165,Male,United States,26.0,Employed part-time,Yes,Researcher,Google Cloud Compute,Anomaly Detection,Python,Master's degree,Electrical Engineering,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",60.0,20.0,0.0,20.0,0.0,0.0
5169,Male,Brazil,39.0,Employed full-time,Yes,Data Analyst,Python,Deep learning,SQL,Master's degree,"Information technology, networking, or system administration",More than 10 years,University courses,30.0,0.0,20.0,50.0,0.0,0.0
5170,Male,Japan,30.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Genetic & Evolutionary Algorithms,Python,Some college/university study without earning a bachelor's degree,"Information technology, networking, or system administration",3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",40.0,0.0,59.0,0.0,1.0,0.0
5171,Male,People 's Republic of China,30.0,Employed full-time,Yes,Data Analyst,TensorFlow,Neural Nets,Python,Master's degree,Engineering (non-computer focused),1 to 2 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
5172,Male,Republic of China,32.0,Employed full-time,No,Data Analyst,MATLAB/Octave,Bayesian Methods,Matlab,Master's degree,"Information technology, networking, or system administration",Less than a year,University courses,0.0,0.0,0.0,100.0,0.0,0.0
5173,Male,Singapore,52.0,"Independent contractor, freelancer, or self-employed",Yes,Business Analyst,SQL,Regression,SQL,Some college/university study without earning a bachelor's degree,Other,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
5174,Male,United States,56.0,Employed full-time,Yes,Scientist/Researcher,I don't plan on learning a new tool/technology,Anomaly Detection,Python,Doctoral degree,Electrical Engineering,More than 10 years,Self-taught,80.0,0.0,15.0,5.0,0.0,0.0
5175,Male,United States,38.0,Employed full-time,Yes,Other,Other,Deep learning,SQL,Some college/university study without earning a bachelor's degree,Fine arts or performing arts,3 to 5 years,Self-taught,80.0,20.0,0.0,0.0,0.0,0.0
5176,Female,Australia,21.0,Employed part-time,Yes,Machine Learning Engineer,Amazon Web services,Deep learning,Python,Some college/university study without earning a bachelor's degree,Other,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",20.0,50.0,10.0,0.0,20.0,0.0
5177,Male,Australia,26.0,Employed full-time,Yes,Data Scientist,Amazon Machine Learning,Time Series Analysis,Python,Master's degree,Electrical Engineering,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",10.0,30.0,30.0,20.0,10.0,0.0
5178,Male,United States,25.0,"Independent contractor, freelancer, or self-employed",Yes,Statistician,Stan,Bayesian Methods,SAS,Doctoral degree,A social science,More than 10 years,Self-taught,100.0,0.0,0.0,0.0,0.0,0.0
5180,Female,Australia,57.0,Employed full-time,Yes,Researcher,IBM Watson / Waton Analytics,Bayesian Methods,R,Master's degree,Mathematics or statistics,More than 10 years,Work,0.0,10.0,80.0,10.0,0.0,0.0
5183,Male,United States,34.0,Employed full-time,Yes,Business Analyst,R,Time Series Analysis,SAS,Master's degree,Engineering (non-computer focused),6 to 10 years,Self-taught,10.0,60.0,20.0,10.0,0.0,0.0
5184,Male,People 's Republic of China,27.0,Employed full-time,Yes,Machine Learning Engineer,MATLAB/Octave,Deep learning,Python,Master's degree,Biology,1 to 2 years,University courses,20.0,30.0,20.0,20.0,10.0,0.0
5185,Male,South Korea,45.0,Employed full-time,Yes,Machine Learning Engineer,Python,Time Series Analysis,Python,Master's degree,Electrical Engineering,1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",45.0,50.0,5.0,0.0,0.0,0.0
5187,Male,United States,24.0,Employed full-time,Yes,Business Analyst,Tableau,Neural Nets,R,Bachelor's degree,Engineering (non-computer focused),3 to 5 years,University courses,20.0,0.0,0.0,80.0,0.0,0.0
5189,Female,United States,24.0,Employed full-time,Yes,Data Scientist,TensorFlow,Neural Nets,Python,Master's degree,Mathematics or statistics,1 to 2 years,University courses,20.0,0.0,10.0,70.0,0.0,0.0
5191,Male,South Korea,47.0,Employed full-time,Yes,Software Developer/Software Engineer,Python,Text Mining,Python,Master's degree,Mathematics or statistics,Less than a year,University courses,10.0,10.0,0.0,30.0,0.0,50.0
5192,Male,Australia,34.0,"Independent contractor, freelancer, or self-employed",Yes,Scientist/Researcher,R,I don't plan on learning a new ML/DS method,R,Master's degree,Engineering (non-computer focused),1 to 2 years,University courses,25.0,25.0,25.0,25.0,0.0,0.0
5193,Female,United States,25.0,Employed full-time,No,Other,R,Regression,R,Bachelor's degree,A social science,I don't write code to analyze data,"Online courses (coursera, udemy, edx, etc.)",40.0,40.0,10.0,10.0,0.0,0.0
5194,Male,Malaysia,26.0,Employed full-time,No,Engineer,Jupyter notebooks,Regression,R,Master's degree,Engineering (non-computer focused),Less than a year,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
5197,Female,Australia,34.0,Employed full-time,Yes,Scientist/Researcher,Amazon Machine Learning,Deep learning,Python,Doctoral degree,Physics,6 to 10 years,"Online courses (coursera, udemy, edx, etc.)",0.0,100.0,0.0,0.0,0.0,0.0
5199,Male,Ireland,30.0,Employed full-time,Yes,Data Scientist,Python,Deep learning,Python,Bachelor's degree,Mathematics or statistics,6 to 10 years,Work,25.0,0.0,70.0,0.0,5.0,0.0
5205,Male,Canada,58.0,Employed full-time,Yes,Computer Scientist,KNIME (free version),Bayesian Methods,Python,Master's degree,Computer Science,More than 10 years,Self-taught,50.0,20.0,30.0,0.0,0.0,0.0
5208,Male,Other,27.0,Employed full-time,No,Software Developer/Software Engineer,TensorFlow,Deep learning,Python,Bachelor's degree,Mathematics or statistics,3 to 5 years,"Online courses (coursera, udemy, edx, etc.)",50.0,15.0,0.0,30.0,5.0,0.0
5210,Male,Brazil,30.0,Employed full-time,Yes,Data Analyst,Julia,Deep learning,Python,Master's degree,Computer Science,1 to 2 years,Work,30.0,30.0,40.0,0.0,0.0,0.0
5211,Male,India,24.0,Employed part-time,Yes,Data Analyst,R,Time Series Analysis,R,Bachelor's degree,Engineering (non-computer focused),Less than a year,"Online courses (coursera, udemy, edx, etc.)",20.0,70.0,0.0,0.0,10.0,0.0
5212,Female,Colombia,26.0,Employed full-time,Yes,Business Analyst,R,Cluster Analysis,Python,Master's degree,Mathematics or statistics,6 to 10 years,University courses,20.0,20.0,10.0,50.0,0.0,0.0
5213,Male,Australia,37.0,Employed full-time,Yes,Other,Other,Other,Other,Master's degree,Physics,More than 10 years,Self-taught,90.0,0.0,4.8663,5.0,0.0,0.1337
5214,Male,Brazil,32.0,Employed full-time,Yes,DBA/Database Engineer,Statistica (Quest/Dell-formerly Statsoft),Text Mining,R,Bachelor's degree,"Information technology, networking, or system administration",1 to 2 years,"Online courses (coursera, udemy, edx, etc.)",50.0,30.0,20.0,0.0,0.0,0.0
5215,Male,United States,19.0,Employed part-time,Yes,Data Scientist,Hadoop/Hive/Pig,Deep learning,Python,Some college/university study without earning a bachelor's degree,Computer Science,Less than a year,Other,25.0,0.0,0.0,0.0,5.0,70.0
5216,Male,Other,29.0,"Independent contractor, freelancer, or self-employed",Yes,Software Developer/Software Engineer,I don't plan on learning a new tool/technology,Neural Nets,Python,Master's degree,Other,6 to 10 years,University courses,30.0,10.0,40.0,20.0,0.0,0.0
5217,Male,Mexico,29.0,Employed full-time,Yes,Predictive Modeler,Cloudera,Text Mining,C/C++/C#,Bachelor's degree,Mathematics or statistics,3 to 5 years,Self-taught,50.0,10.0,20.0,10.0,10.0,0.0
5218,Male,United States,25.0,Employed full-time,Yes,Data Scientist,Other,Deep learning,Python,Bachelor's degree,A social science,3 to 5 years,Kaggle competitions,0.0,25.0,25.0,0.0,50.0,0.0
5220,Male,United States,34.0,Employed full-time,Yes,Software Developer/Software Engineer,TensorFlow,Time Series Analysis,Python,Doctoral degree,Electrical Engineering,More than 10 years,University courses,0.0,50.0,0.0,50.0,0.0,0.0
5223,Female,United States,26.0,Employed full-time,Yes,Data Analyst,Spark / MLlib,Neural Nets,Python,Master's degree,Physics,3 to 5 years,Work,20.0,0.0,60.0,0.0,10.0,10.0
5224,Female,United States,34.0,Employed full-time,Yes,Data Analyst,SQL,Decision Trees,R,Bachelor's degree,Mathematics or statistics,1 to 2 years,University courses,10.0,20.0,5.0,50.0,0.0,15.0
